Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
GB;;Islington;51.54654025913672, -0.09074524215529413;RELATIVEHUMIDITY;airgradient;%;54.923720359802246;2025-01-14T04:30:00+05:30;United Kingdom
CA;;Englishtown Cape Breton;46.2814266, -60.5645965;RELATIVEHUMIDITY;airgradient;%;66.70499992370605;2025-01-14T04:30:00+05:30;Canada
NZ;;Berhampore;-41.32, 174.78;RELATIVEHUMIDITY;airgradient;%;32.27083412806193;2025-01-14T04:30:00+05:30;New Zealand
AR;;saladillo_urban_1;-35.63367238352178, -59.77516515137027;RELATIVEHUMIDITY;airgradient;%;38.84017848968506;2024-04-19T23:30:00+05:30;Argentina
TH;;Savvi Condominium Phahol-Ari;13.778406648867108, 100.54654472577135;RELATIVEHUMIDITY;airgradient;%;42.37455368041992;2024-07-06T13:30:00+05:30;Thailand
AU;;Caringbah NSW;-34.0467846944686, 151.1229561199615;RELATIVEHUMIDITY;airgradient;%;52.01542663574219;2024-12-27T03:30:00+05:30;Australia
TH;;Prem Tinsulanonda International School 2;18.966512871928927, 98.91508369562034;RELATIVEHUMIDITY;airgradient;%;40.76309553782145;2024-07-06T13:30:00+05:30;Thailand
DE;;Hattenrod, Germany;50.5756432, 8.8478028;RELATIVEHUMIDITY;airgradient;%;55.037875175476074;2025-01-14T04:30:00+05:30;Germany
TH;;Rajaphat Yala University;6.549012748332888, 101.2896306111374;RELATIVEHUMIDITY;airgradient;%;66.64291763305664;2024-07-06T13:30:00+05:30;Thailand
TJ;;19 microdistrict;40.2958293, 69.6089663;RELATIVEHUMIDITY;airgradient;%;51.351040840148926;2024-04-13T23:30:00+05:30;Tajikistan
NL;;Wierden;52.35917, 6.59306;RELATIVEHUMIDITY;airgradient;%;65.60434850056966;2025-01-14T04:30:00+05:30;Netherlands
TH;;วังหมุ้น;18.945298569548378, 98.97347979467268;RELATIVEHUMIDITY;airgradient;%;65.9918753306071;2024-07-06T13:30:00+05:30;Thailand
AT;;Kloburg am Ölberg;48.3092726, 16.2999059;RELATIVEHUMIDITY;airgradient;%;49.29247029622396;2025-01-14T04:30:00+05:30;Austria
TH;;Khunyuam Wittaya School 2, Khunyuam, Maehongson;18.837399394128656, 97.93995071660461;RELATIVEHUMIDITY;airgradient;%;64.80666669209798;2024-07-06T13:30:00+05:30;Thailand
IT;;Cittanova;38.34782816126602, 16.08657785718319;RELATIVEHUMIDITY;airgradient;%;40.3703867594401;2024-08-05T16:30:00+05:30;Italy
TH;;Suwannakhuhapittayasan school 1, Suwan Khuha, Nong Bua Lamphu;17.23816238132771, 102.43412910724983;RELATIVEHUMIDITY;airgradient;%;74.66645940144856;2024-07-06T13:30:00+05:30;Thailand
NL;;Meddo;52.01307537360761, 6.704309363928711;RELATIVEHUMIDITY;airgradient;%;49.50466664632162;2025-01-14T04:30:00+05:30;Netherlands
TH;;Prem Tinsulanonda International School 1;18.96255421231335, 98.91562786546136;RELATIVEHUMIDITY;airgradient;%;70.49583180745442;2024-07-06T13:30:00+05:30;Thailand
CA;;AQ-Toronto-Annex;43.6692007, -79.408185;RELATIVEHUMIDITY;airgradient;%;66.70499992370605;2025-01-14T04:30:00+05:30;Canada
NL;;Didam, NL;51.94063604904484, 6.123727385278134;RELATIVEHUMIDITY;airgradient;%;52.047638575236;2025-01-14T04:30:00+05:30;Netherlands
NL;;Dongen;51.636622, 4.931691;RELATIVEHUMIDITY;airgradient;%;54.33333206176758;2024-08-30T18:30:00+05:30;Netherlands
TH;;Srikranuanwittayakom school 1, Kranuan, Khon Kaen;16.721984416175946, 103.08173493955674;RELATIVEHUMIDITY;airgradient;%;60.68916702270508;2024-07-06T13:30:00+05:30;Thailand
AU;;Anzac Memorial;-33.8757279, 151.1388636;RELATIVEHUMIDITY;airgradient;%;62.0970090230306;2025-01-14T04:30:00+05:30;Australia
TH;;Suwannaramwittayakom school 1, Bangkok Noi, Bangkok;13.76312579330489, 100.47612901861227;RELATIVEHUMIDITY;airgradient;%;66.28708267211914;2024-07-06T13:30:00+05:30;Thailand
FR;;Home;45.27189498268899, 5.679027058969204;RELATIVEHUMIDITY;airgradient;%;36.5541664759318;2025-01-14T04:30:00+05:30;France
TH;;Mahapruttaram girl's school 2, Bang Rak, Bangkok;13.732667711114303, 100.51601151861196;RELATIVEHUMIDITY;airgradient;%;67.97500038146973;2024-07-06T13:30:00+05:30;Thailand
TH;;NARIT ASTROPARK (Research building);18.851438300930976, 98.95771486398863;RELATIVEHUMIDITY;airgradient;%;71.30583318074544;2024-07-06T13:30:00+05:30;Thailand
CH;;Letzigrund;47.38049, 8.50299;RELATIVEHUMIDITY;airgradient;%;48.581000010172524;2025-01-14T04:30:00+05:30;Switzerland
TH;;Chomthong School 1, Chomthong, Chiang Mai;18.435156957109033, 98.67718182473789;RELATIVEHUMIDITY;airgradient;%;65.68166605631511;2024-07-06T13:30:00+05:30;Thailand
GB;;135 Wincheap;51.27224121233743, 1.0687339793186899;RELATIVEHUMIDITY;airgradient;%;56.34788672129313;2024-03-10T23:30:00+05:30;United Kingdom
DE;;Oesterweg, Ländlicher Raum / Rural;52.023192310812405, 8.206561800207691;RELATIVEHUMIDITY;airgradient;%;63.49583307902018;2025-01-14T04:30:00+05:30;Germany
