Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
CN;;石溪浩(对照点);30.567800000000002, 105.5453;SO2;ChinaAQIData;µg/m³;10.0;2021-08-09T16:30:00+05:30;China
JP;;加古川市尾上町長田５１９;34.738611, 134.826944;SO2;japan-soramame;ppm;0.0;2024-09-23T12:30:00+05:30;Japan
JP;;気仙沼市笹ヶ陣３－１;38.9, 141.574167;SO2;japan-soramame;ppm;0.0;2024-09-23T12:30:00+05:30;Japan
JP;;小田原市荻窪３００;35.261111, 139.155556;SO2;japan-soramame;ppm;0.001;2024-09-23T12:30:00+05:30;Japan
IT;Misterbianco, Contrada Milicia n. 5;Misterbianco;37.51571400020742, 15.010788000307391;SO2;eea;µg/m³;-1.0;2024-05-30T13:30:00+05:30;Italy
JO;;תחנה:ק.מלאכי;30.945529999999998, 35.3884;SO2;Israel;ppm;0.0;2019-04-04T02:30:00+05:30;Jordan
JP;;船橋市高根台５－２－１;35.728889, 140.042222;SO2;japan-soramame;ppm;0.001;2024-09-23T12:30:00+05:30;Japan
PE;;Ate;-12.0261111, -76.9186111;SO2;Peru Clima;ppm;0.0;2017-07-20T11:30:00+05:30;Peru
IL;;תחנה:גבעת המורה;32.85182, 35.07873;SO2;Israel;ppm;0.0003;2019-04-04T02:30:00+05:30;Israel
FR;;La Fare les Oliviers;43.53830753310573, 5.185282432453225;SO2;EEA France;µg/m³;3.75;2016-12-05T22:30:00+05:30;France
CN;;规划局;33.73, 113.3025;SO2;ChinaAQIData;µg/m³;4.0;2021-08-09T16:30:00+05:30;China
JP;;西条市丹原町今井４－イ;33.896111, 133.059722;SO2;japan-soramame;ppm;0.001;2024-09-23T12:30:00+05:30;Japan
PL;Wschowa;Wschowa ul. Kazimierza Wielkiego;51.799722, 16.3175;SO2;GIOS;µg/m³;20.6;2025-01-07T15:30:00+05:30;Poland
US;Riverside-San Bernardino-Ontario;Riverside - Rubidoux;33.999449, -117.415831;SO2;AirNow;ppm;0.0001;2023-04-29T15:30:00+05:30;United States
TH;;Phaya Thai, Khet Phaya Thai;13.780444, 100.537798;SO2;Thailand;ppm;0.019;2019-08-02T06:30:00+05:30;Thailand
TR;İstanbul;İstanbul - Ümraniye;41.013611, 29.162222;SO2;Turkiye;µg/m³;10.2;2023-05-03T19:30:00+05:30;Turkey
US;Tulsa;Tulsa 0179;36.15483, -96.015845;SO2;AirNow;ppm;0.0;2020-11-18T23:30:00+05:30;United States
US;Fayetteville;Honeycutt;35.00165, -78.99075;SO2;AirNow;ppm;0.0;2019-04-04T21:30:00+05:30;United States
CN;;文体中心;24.3389, 102.5381;SO2;ChinaAQIData;µg/m³;8.0;2021-08-09T16:30:00+05:30;China
CZ;Praha;Praha 2-Riegrovy sady;50.0814819336594, 14.442691803052586;SO2;eea;µg/m³;6.1;2025-01-31T12:30:00+05:30;Czech Republic
CN;;兴松小区;40.8452, 111.659;SO2;ChinaAQIData;µg/m³;18.0;2020-01-13T13:30:00+05:30;China
CN;;那曲会议中心;31.479700000000005, 92.05060000000002;SO2;ChinaAQIData;µg/m³;6.0;2021-08-09T16:30:00+05:30;China
BA;;Ilijaš;43.96, 18.26;SO2;Bosnia2;µg/m³;35.0;2018-10-14T02:30:00+05:30;Bosnia and Herzegovina
BA;Novi Grad Sarajevo;SARAJEVO - OTOKA;43.848399999786515, 18.36370000017573;SO2;eea;µg/m³;9.7943;2025-01-31T13:30:00+05:30;Bosnia and Herzegovina
KR;;고창읍;35.438094, 126.71279;SO2;korea-air;ppm;0.0024;2025-01-28T14:30:00+05:30;Korea, Republic of
MK;None;Bitola 2 Strezevo;41.030280000153134, 21.336669999783364;SO2;eea;µg/m³;3.27182;2025-01-28T11:30:00+05:30;Macedonia, The former Yugoslav Rep. of
MX;;San Cristobal;19.327222222222, -99.634288888889;SO2;Sinaica Mexico;ppm;0.006;2023-01-31T00:30:00+05:30;Mexico
