Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
TH;;Savvi Condominium Phahol-Ari;13.778406648867108, 100.54654472577135;TEMPERATURE;airgradient;c;33.271279652913414;2024-07-06T13:30:00+05:30;Thailand
TH;;Prem Tinsulanonda International School 2;18.966512871928927, 98.91508369562034;TEMPERATURE;airgradient;c;34.74999968210856;2024-07-06T13:30:00+05:30;Thailand
PL;;Marszewska Kolonia;54.2630117537016, 18.403446205356097;TEMPERATURE;airgradient;c;7.712351163228353;2023-12-12T00:30:00+05:30;Poland
CH;;Letzigrund;47.38049, 8.50299;TEMPERATURE;airgradient;c;3.2628333369890847;2025-01-14T04:30:00+05:30;Switzerland
TH;;NARIT ASTROPARK (Research building);18.851438300930976, 98.95771486398863;TEMPERATURE;airgradient;c;30.22652769088745;2024-07-06T13:30:00+05:30;Thailand
FR;;Balcony;48.826771809060084, 2.332162797396593;TEMPERATURE;airgradient;c;17.26949405670166;2024-09-23T14:30:00+05:30;France
TH;;Be Leaf Resort, Phuket;8.028638989565119, 98.35441155579035;TEMPERATURE;airgradient;c;31.828482309977215;2024-07-06T13:30:00+05:30;Thailand
TH;;NARIT ASTROPARK (Parking);18.85345541310349, 98.95760600870581;TEMPERATURE;airgradient;c;34.60541566212972;2024-07-06T13:30:00+05:30;Thailand
TH;;Watkhemapirataram school 1, Mueang, Nonthaburi;13.823306342907303, 100.50341971861289;TEMPERATURE;airgradient;c;30.99583339691162;2024-07-06T13:30:00+05:30;Thailand
CA;;AC Richmond, BC;49.12289147218409, -123.1630830234623;TEMPERATURE;airgradient;c;11.091160853703817;2025-01-14T04:30:00+05:30;Canada
AT;;Schottergrube;47.727579, 16.106267;TEMPERATURE;airgradient;c;5.019345243771871;2025-01-14T04:30:00+05:30;Austria
GB;;Northcote Street, Bristol;51.4644277673234, -2.567887786679186;TEMPERATURE;airgradient;c;10.314642826716105;2025-01-14T04:30:00+05:30;United Kingdom
TH;;Soemngamwitthayakhom School 2, Some-Ngam, Lampang;18.279805533636747, 99.48051196520771;TEMPERATURE;airgradient;c;32.14666732152303;2024-07-06T13:30:00+05:30;Thailand
GH;;Built Environment UESD;6.05246, -0.00783;TEMPERATURE;airgradient;c;32.24242067337036;2024-10-02T18:30:00+05:30;Ghana
GB;;Dame Emily Park;51.44276, -2.60125;TEMPERATURE;airgradient;c;20.799702485402424;2024-09-13T01:30:00+05:30;United Kingdom
CZ;;Location 2;50.091935, 15.14536;TEMPERATURE;airgradient;c;27.311904589335125;2025-01-14T04:30:00+05:30;Czech Republic
CA;;Montgomery, Calgary;51.07583662516606, -114.15994576851888;TEMPERATURE;airgradient;c;11.784226099650065;2025-01-14T04:30:00+05:30;Canada
GB;;Oldham Street, Manchester;53.48161807672774, -2.2370100183219983;TEMPERATURE;airgradient;c;19.039999771118165;2023-10-20T01:30:00+05:30;United Kingdom
TH;;Mahapruttaram girl's school 2, Bang Rak, Bangkok;13.732667711114303, 100.51601151861196;TEMPERATURE;airgradient;c;31.704999923706055;2024-07-06T13:30:00+05:30;Thailand
CA;;Linden Woods, Winnipeg;49.832303, -97.190747;TEMPERATURE;airgradient;c;-18.63016653060913;2025-01-14T04:30:00+05:30;Canada
TH;;Kaenoisuksa School 1, Chiang Dao, Chiang Mai;19.394767432705724, 98.92874614493202;TEMPERATURE;airgradient;c;26.78166627883911;2024-07-06T13:30:00+05:30;Thailand
TH;;intERLab, Pathumthani, Thailand;14.077551603647665, 100.61278750267229;TEMPERATURE;airgradient;c;30.25447924931844;2024-06-23T06:30:00+05:30;Thailand
IE;;St. Lomans Street, Trim, Meath;53.558587990597054, -6.790756104440302;TEMPERATURE;airgradient;c;9.647246837615967;2024-12-20T15:30:00+05:30;Ireland
AU;;Caringbah NSW;-34.0467846944686, 151.1229561199615;TEMPERATURE;airgradient;c;23.749404748280842;2024-12-27T03:30:00+05:30;Australia
CA;;Red Mountain Rd, Silverton;49.9340719, -117.3513185;TEMPERATURE;airgradient;c;13.203868945439657;2025-01-14T04:30:00+05:30;Canada
TH;;The National Science Museum, Thailand (NSM);14.059029941320787, 100.72229270474135;TEMPERATURE;airgradient;c;37.67625045776367;2024-07-06T13:30:00+05:30;Thailand
AR;;AirGradient Saladillo Indoor;-35.64627885582698, -59.78680330642245;TEMPERATURE;airgradient;c;17.604166666666668;2023-08-26T17:30:00+05:30;Argentina
GH;;Built Environment UESD;6.051, -0.007;TEMPERATURE;airgradient;c;32.052553697065875;2024-02-12T17:30:00+05:30;Ghana
AU;;Beechworth - Newtown;-36.365621, 146.682152;TEMPERATURE;airgradient;c;23.2857084274292;2025-01-06T08:30:00+05:30;Australia
DE;;Holzen;48.1574391, 12.7276085;TEMPERATURE;airgradient;c;1.1583333611488342;2025-01-14T04:30:00+05:30;Germany
GB;;UAL Creative Computing Institute, Greencoat Building;51.47230908118687, -0.08600623929255025;TEMPERATURE;airgradient;c;9.624958276748657;2025-01-14T04:30:00+05:30;United Kingdom
TH;;Vieng Nua, Pai;19.374620435850545, 98.44561078410078;TEMPERATURE;airgradient;c;30.48622004191081;2024-07-06T13:30:00+05:30;Thailand
CL;;DCI;-38.748915, -72.617252;TEMPERATURE;airgradient;c;23.39520835876465;2024-02-28T00:30:00+05:30;Chile
NZ;;Berhampore;-41.32, 174.78;TEMPERATURE;airgradient;c;25.650000254313152;2025-01-14T04:30:00+05:30;New Zealand
DE;;Kahla;50.8041232, 11.587652;TEMPERATURE;airgradient;c;11.804717461268107;2024-02-12T02:30:00+05:30;Germany
NL;;Dongen;51.636622, 4.931691;TEMPERATURE;airgradient;c;19.200000762939453;2024-08-30T18:30:00+05:30;Netherlands
NL;;Meddo;52.01307537360761, 6.704309363928711;TEMPERATURE;airgradient;c;5.517833312352498;2025-01-14T04:30:00+05:30;Netherlands
TH;;Ubolratanaphitthayakhom school 2, Ubonrat, Khon Kaen;16.7873497901495, 102.6332544864775;TEMPERATURE;airgradient;c;25.779166221618652;2023-08-08T13:30:00+05:30;Thailand
DK;;Frederikssundsvej 31;55.70191854456806, 12.532814894837939;TEMPERATURE;airgradient;c;13.699305613835653;2023-08-07T09:30:00+05:30;Denmark
TH;;Suwannaramwittayakom school 1, Bangkok Noi, Bangkok;13.76312579330489, 100.47612901861227;TEMPERATURE;airgradient;c;32.06208340326945;2024-07-06T13:30:00+05:30;Thailand
TH;;Waengpittiayakhom school 1, Sawang Daen Din, Sakon Nakhon;17.4689566685271, 103.48612609959888;TEMPERATURE;airgradient;c;30.086666742960613;2024-07-06T13:30:00+05:30;Thailand
NL;;Roden;53.146079, 6.41981;TEMPERATURE;airgradient;c;4.142499963442485;2025-01-14T04:30:00+05:30;Netherlands
ID;;Depok;-6.409456, 106.856152;TEMPERATURE;airgradient;c;27.950148582458496;2025-01-14T04:30:00+05:30;Indonesia
LA;;Bungkan School 1, Mueang, Bungkan;18.389836926387506, 103.66396050996747;TEMPERATURE;airgradient;c;29.17347224553426;2023-10-31T08:30:00+05:30;Lao People's Dem. Rep.
CA;;Englishtown Cape Breton;46.2814266, -60.5645965;TEMPERATURE;airgradient;c;-1.0199999958276749;2025-01-14T04:30:00+05:30;Canada
AR;;AirGradient Saladillo;-35.64627885582698, -59.78680330642245;TEMPERATURE;airgradient;c;20.512500127156574;2023-08-07T03:30:00+05:30;Argentina
TH;;Nuannoradit school 2, Phasi Charoen, Bangkok;13.723905641056973, 100.46672554559318;TEMPERATURE;airgradient;c;33.433750788370766;2024-07-06T13:30:00+05:30;Thailand
TH;;Kasetsart university laboratory school 1, Chatuchak, Bangkok;13.850829210818615, 100.56881779163187;TEMPERATURE;airgradient;c;30.984583377838135;2024-03-25T07:30:00+05:30;Thailand
IN;;Dhopagachi;22.3743, 88.415;TEMPERATURE;airgradient;c;18.053125381469727;2025-01-14T04:30:00+05:30;India
CA;;Halte routière;45.54443354923713, -73.21194147930187;TEMPERATURE;airgradient;c;5.320833285649617;2025-01-14T04:30:00+05:30;Canada
GB;;Oldham Street, Manchester;53.48161807672774, -2.2370100183219983;TEMPERATURE;airgradient;c;15.733333349227905;2023-09-29T11:30:00+05:30;United Kingdom
IT;;Localita Pozza 7;44.062185, 10.47973;TEMPERATURE;airgradient;c;23.673821640014648;2023-08-08T19:30:00+05:30;Italy
GB;;Islington;51.54654025913672, -0.09074524215529413;TEMPERATURE;airgradient;c;8.939136823018393;2025-01-14T04:30:00+05:30;United Kingdom
CA;;Pierrefonds;45.500631, -73.838472;TEMPERATURE;airgradient;c;18.96363639831543;2023-08-25T23:30:00+05:30;Canada
TH;;Chomthong School 1, Chomthong, Chiang Mai;18.435156957109033, 98.67718182473789;TEMPERATURE;airgradient;c;30.939027786254883;2024-07-06T13:30:00+05:30;Thailand
DE;;Hattenrod, Germany;50.5756432, 8.8478028;TEMPERATURE;airgradient;c;2.368666668732961;2025-01-14T04:30:00+05:30;Germany
CA;;unhitched-override;45.5271, -73.60962;TEMPERATURE;airgradient;c;22.360000610351562;2024-02-05T01:30:00+05:30;Canada
TH;;Prem Tinsulanonda International School 1;18.96255421231335, 98.91562786546136;TEMPERATURE;airgradient;c;31.63416639963786;2024-07-06T13:30:00+05:30;Thailand
AU;;Deck;-35.36610384484214, 149.08211305494842;TEMPERATURE;airgradient;c;19.609166463216145;2024-05-13T11:30:00+05:30;Australia
FR;;Home;45.27189498268899, 5.679027058969204;TEMPERATURE;airgradient;c;12.70883305867513;2025-01-14T04:30:00+05:30;France
BE;;Nederename;50.86725025680548, 3.634570252552817;TEMPERATURE;airgradient;c;3.0899107456207275;2025-01-14T04:30:00+05:30;Belgium
GB;;Oldham Street, Manchester;53.48161807672774, -2.2370100183219983;TEMPERATURE;airgradient;c;18.950000762939453;2023-09-17T13:30:00+05:30;United Kingdom
CA;;unhitched-overide-od;45.5271, -73.60962;TEMPERATURE;airgradient;c;4.930158774058024;2024-02-05T05:30:00+05:30;Canada
NP;;Dhathutole, Handigaun;27.727502, 85.330135;TEMPERATURE;airgradient;c;14.692857265472412;2025-01-14T04:30:00+05:30;Nepal
MX;;Obraje, San Miguel de Allende;20.9221876, -100.7379143;TEMPERATURE;airgradient;c;20.679404576619465;2024-11-19T20:30:00+05:30;Mexico
TH;;บ้านหมู;18.932618966437307, 98.96445032014383;TEMPERATURE;airgradient;c;32.32738049825033;2024-07-06T13:30:00+05:30;Thailand
TH;;NARIT​-OPD;18.85275424506312, 98.95834692689932;TEMPERATURE;airgradient;c;33.89208380381266;2024-07-03T12:30:00+05:30;Thailand
AU;;Caringbah NSW;-34.0467846944686, 151.1229561199615;TEMPERATURE;airgradient;c;25.290416558583576;2025-01-14T04:30:00+05:30;Australia
AU;;North Ryde;-33.787549773025184, 151.1158767473518;TEMPERATURE;airgradient;c;25.80363130569458;2025-01-14T04:30:00+05:30;Australia
DE;;Oesterweg, Ländlicher Raum / Rural;52.023192310812405, 8.206561800207691;TEMPERATURE;airgradient;c;0.7999999970197678;2025-01-14T04:30:00+05:30;Germany
ID;;Qoryah Darussalam;-6.3612408, 106.8419476;TEMPERATURE;airgradient;c;27.422541459401447;2025-01-14T04:30:00+05:30;Indonesia
CH;;Arnikastrasse;47.5848, 7.6499;TEMPERATURE;airgradient;c;4.702083190282186;2025-01-14T04:30:00+05:30;Switzerland
AU;;Dorretti Circuit 1;-27.853314329520487, 153.28561496785235;TEMPERATURE;airgradient;c;23.700000762939453;2023-10-14T18:30:00+05:30;Australia
LA;;Ramrachpittayakom school 1, Tha Uthen, Nakhon Phanom;17.590600899092816, 104.59359950739773;TEMPERATURE;airgradient;c;26.715833346048992;2023-11-27T07:30:00+05:30;Lao People's Dem. Rep.
TH;;Rajaphat Yala University;6.549012748332888, 101.2896306111374;TEMPERATURE;airgradient;c;25.3502779006958;2024-07-06T13:30:00+05:30;Thailand
CA;;AQ-Toronto-Annex;43.6692007, -79.408185;TEMPERATURE;airgradient;c;-1.0199999958276749;2025-01-14T04:30:00+05:30;Canada
DE;;Hauptstraße Oberstedten;50.226631, 8.5643869;TEMPERATURE;airgradient;c;3.774999996026357;2025-01-14T04:30:00+05:30;Germany
CA;;OpenAF;50.221058686904136, -119.22843790237432;TEMPERATURE;airgradient;c;8.02833366394043;2024-10-03T22:30:00+05:30;Canada
AU;;Mitcham;-37.821355878845935, 145.19754088501568;TEMPERATURE;airgradient;c;21.60562515258789;2024-10-30T09:30:00+05:30;Australia
SN;;Sénégal, Dakar;14.746475571894893, -17.510440956465402;TEMPERATURE;airgradient;c;26.959423065185547;2024-07-28T13:30:00+05:30;Senegal
MY;;CEASTech, UniMAP;6.4363665, 100.2330824;TEMPERATURE;airgradient;c;26.883333206176758;2023-10-23T06:30:00+05:30;Malaysia
CA;;Nadia Drive;44.682172, -63.591954;TEMPERATURE;airgradient;c;4.404434561729431;2025-01-14T04:30:00+05:30;Canada
AT;;Kloburg am Ölberg;48.3092726, 16.2999059;TEMPERATURE;airgradient;c;4.061741054058075;2025-01-14T04:30:00+05:30;Austria
CH;;Seebach;47.42876601692833, 8.545199226884375;TEMPERATURE;airgradient;c;-1.624626487493515;2025-01-14T04:30:00+05:30;Switzerland
TH;;สันโป่ง;18.9375111, 98.9566944;TEMPERATURE;airgradient;c;32.05118099848429;2024-07-06T13:30:00+05:30;Thailand
TH;;Nonghanwittaya school 1, Nong Han, Udon Thani;17.77979422107294, 103.71065058858952;TEMPERATURE;airgradient;c;24.05222177505493;2024-03-02T08:30:00+05:30;Thailand
CA;;unhitched-override-id;45.5271, -73.60962;TEMPERATURE;airgradient;c;20.810694535573322;2024-02-05T05:30:00+05:30;Canada
TH;;Khunyuam Wittaya School 2, Khunyuam, Maehongson;18.837399394128656, 97.93995071660461;TEMPERATURE;airgradient;c;32.6258331934611;2024-07-06T13:30:00+05:30;Thailand
TH;;Srikranuanwittayakom school 1, Kranuan, Khon Kaen;16.721984416175946, 103.08173493955674;TEMPERATURE;airgradient;c;34.332986195882164;2024-07-06T13:30:00+05:30;Thailand
CA;;Lilac Hill;44.012, -79.933;TEMPERATURE;airgradient;c;21.125;2023-09-25T19:30:00+05:30;Canada
CZ;;Předhradí;50.09194365564329, 15.145954731071383;TEMPERATURE;airgradient;c;24.649999777475994;2023-08-16T02:30:00+05:30;Czech Republic
AU;;UNO;-34.925935, 138.593945;TEMPERATURE;airgradient;c;29.082187175750732;2024-03-16T11:30:00+05:30;Australia
